Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11L6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Food processing",deleted in 2012,Q12I3,"Regulation, inspection and/or licensing activities - Food processing - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12I8,"Regulation, inspection and/or licensing activities - Food processing -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSFSE01,"Regulation, inspection and/or licensing activities - Food service establishments - Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSFSE01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Food service establishments",AINSFSE01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Food service establishments",B11M1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency-Food service establishments","response option in 2012 added ""directly""",Q12J1,"Regulation, inspection and/or licensing activities - Food service establishments - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSFSE02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Food service establishments",AINSFSE02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Food service establishments",,,added questions in 2012,Q12J2,"Regulation, inspection and/or licensing activities - Food service establishments - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11M2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Food service establishments",deleted in 2012,Q12J4,"Regulation, inspection and/or licensing activities - Food service establishments -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11M3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Food service establishments",deleted in 2012,Q12J5,"Regulation, inspection and/or licensing activities - Food service establishments - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11M4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Food service establishments",deleted in 2012,Q12J6,"Regulation, inspection and/or licensing activities - Food service establishments - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11M5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Food service establishments",deleted in 2012,Q12J7,"Regulation, inspection and/or licensing activities - Food service establishments -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11M6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Food service establishments",deleted in 2012,Q12J3,"Regulation, inspection and/or licensing activities -Food service establishments - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12J8,"Regulation, inspection and/or licensing activities - Food service establishments -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSHPC01,"Regulation, inspection and/or licensing activities - Hospice - Performed by state/territorial public health agency directly or via contract",,AINSHPC01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Hospice",AINSHPC01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Hospice",B11N1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency -Hospice","response option in 2012 added ""directly""",Q12K1,"Regulation, inspection and/or licensing activities -Hospice - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSHPC02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Hospice",AINSHPC02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Hospice",,,added questions in 2012,Q12K2,"Regulation, inspection and/or licensing activities - Hospice - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11N2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Hospice",deleted in 2012,Q12K4,"Regulation, inspection and/or licensing activities - Hospice -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11N3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Hospice",deleted in 2012,Q12K5,"Regulation, inspection and/or licensing activities - Hospice - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11N4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Hospice",deleted in 2012,Q12K6,"Regulation, inspection and/or licensing activities - Hospice - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11N5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Hospice",deleted in 2012,Q12K7,"Regulation, inspection and/or licensing activities - Hospice -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11N6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Hospice",deleted in 2012,Q12K3,"Regulation, inspection and/or licensing activities -Hospice - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12K8,"Regulation, inspection and/or licensing activities - Hospice -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSHPL01,"Regulation, inspection and/or licensing activities - Hospitals - Performed by state/territorial public health agency directly or via contract",,AINSHPL01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Hospitals",AINSHPL01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Hospitals",B11O1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency -Hospitals","response option in 2012 added ""directly""",Q12L1,"Regulation, inspection and/or licensing activities - Hospitals - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSHPL02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Hospitals",AINSHPL02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Hospitals",,,added questions in 2012,Q12L2,"Regulation, inspection and/or licensing activities - Hospitals - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11O2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Hospitals",deleted in 2012,Q12L4,"Regulation, inspection and/or licensing activities - Hospitals -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11O3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Hospitals",deleted in 2012,Q12L5,"Regulation, inspection and/or licensing activities - Hospitals - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11O4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Hospitals",deleted in 2012,Q12L6,"Regulation, inspection and/or licensing activities - Hospitals - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11O5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Hospitals",deleted in 2012,Q12L7,"Regulation, inspection and/or licensing activities -Hospitals -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11O6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Hospitals",deleted in 2012,Q12L3,"Regulation, inspection and/or licensing activities - Hospitals - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12L8,"Regulation, inspection and/or licensing activities - Hospitals -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSHOM01,"Regulation, inspection and/or licensing activities - Hotels/motels -Performed by state/territorial public health agency directly or via contract",This data was taken from the 2019 Environmental Health Services Survey. ,AINSHOM01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Hotels/motels",AINSHOM01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Hotels/motels",B11P1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency -Hotels/motels","response option in 2012 added ""directly""",Q12M1,"Regulation, inspection and/or licensing activities - Hotels/motels - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AINSHOM02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Hotels/motels",AINSHOM02,"Regulation, inspection and/or licensing activities -Contracted out by state/territorial public health agency-Hotels/motels",,,added questions in 2012,Q12M2,"Regulation, inspection and/or licensing activities - Hotels/motels - Contracted (or grants) by state public health agency",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11P2_2010,"Regulation, inspection and/or licensing activities- Performed by local health departments led by a state/territorial employee- Hotels/motels",deleted in 2012,Q12M4,"Regulation, inspection and/or licensing activities - Hotels/motels -Performed by local public health agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11P3_2010,"Regulation, inspection and/or licensing activities - Performed by local health departments led by a local employee-Hotels/motels",deleted in 2012,Q12M5,"Regulation, inspection and/or licensing activities - Hotels/motels - Performed by other local governmental agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11P4_2010,"Regulation, inspection and/or licensing activities - Performed by a not-for-profit entity-Hotels/motels",deleted in 2012,Q12M6,"Regulation, inspection and/or licensing activities - Hotels/motels - Performed by a non-governmental entity",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11P5_2010,"Regulation, inspection and/or licensing activities- Performed by a for-profit entity- Hotels/motels",deleted in 2012,Q12M7,"Regulation, inspection and/or licensing activities - Hotels/motels -Performed by a federal agency",changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B11P6_2010,"Regulation, inspection and/or licensing activities - Performed by another state/territorial agency-Hotels/motels",deleted in 2012,Q12M3,"Regulation, inspection and/or licensing activities - Hotels/motels - Performed by another state governmental agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q12M8,"Regulation, inspection and/or licensing activities - Hotels/motels -Not available in state",deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSHOU01,"Regulation, inspection and/or licensing activities - Housing (inspections) -Performed by state/territorial public health agency directly or via contract",,AINSHOU01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Housing (inspections)",AINSHOU01,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency directly-Housing (inspections)",B11Q1_2010,"Regulation, inspection and/or licensing activities -Performed by state/territorial public health agency -Housing (inspections)","response option in 2012 added ""directly""",Q12N1,"Regulation, inspection and/or licensing activities - Housing (inspections) - Performed by state public health agency directly","response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
